runtime: 21.244818 rate: 720825.226375
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 220, 618854, 621447, 5839, 19154, 6812, 16566, 8.065s, 5
1, 0, 0, 381, 22337, 0, 5165, 6095, 6843, 28432, 9.713s, 5
2, 0, 0, 1249, 22239, 0, 5657, 4322, 6821, 26561, 9.065s, 5
3, 0, 0, 253, 717889, 734618, 6429, 30603, 4326, 13876, 5.056s, 5
4, 0, 0, 135, 21752, 0, 6223, 7471, 6820, 29223, 9.792s, 5
5, 0, 0, 356, 22056, 0, 5612, 4848, 7331, 26904, 9.662s, 5
6, 0, 0, 271, 19117, 0, 5765, 3861, 7332, 22978, 9.453s, 5
7, 0, 0, 208, 16834, 0, 6024, 4344, 6957, 21178, 9.580s, 5
8, 0, 0, 3, 718254, 734618, 5624, 29892, 6839, 13530, 8.645s, 5
9, 0, 0, 221, 18816, 0, 5710, 4926, 7468, 23742, 9.660s, 5
10, 0, 0, 290, 21495, 0, 6426, 5452, 6955, 26947, 9.337s, 5
11, 0, 0, 2, 715913, 734618, 5474, 28673, 6975, 9970, 8.265s, 5
12, 0, 0, 294, 365679, 367309, 5642, 17566, 6964, 15937, 8.545s, 5
13, 0, 0, 536, 368821, 367309, 5257, 16532, 6980, 18045, 8.112s, 5
14, 0, 0, 246, 18060, 0, 5552, 2143, 6954, 20203, 9.006s, 5
15, 0, 0, 130, 19354, 0, 5340, 3397, 7021, 22751, 9.121s, 5
16, 0, 0, 84, 371202, 367309, 6112, 17407, 6935, 21301, 9.098s, 5
17, 0, 0, 495, 18499, 0, 6676, 2716, 6987, 21215, 9.374s, 5
18, 0, 0, 224, 367679, 367309, 6026, 19626, 7028, 19997, 8.789s, 5
19, 0, 0, 377, 718676, 734618, 5820, 31850, 6399, 15910, 7.415s, 5
20, 0, 0, 1483, 17516, 0, 6363, 7320, 5309, 24836, 7.402s, 5
21, 0, 0, 0, 1417889, 1469277, 5827, 51978, 3113, 596, 2.503s, 5
22, 0, 0, 0, 1767756, 1836545, 5907, 68803, 242, 19, 0.619s, 5
23, 0, 0, 40, 1062292, 1101927, 5346, 42068, 4857, 2436, 4.897s, 5
24, 0, 0, 1054, 367277, 367309, 5304, 18081, 4957, 18050, 6.169s, 5
25, 0, 0, 580, 16786, 0, 4916, 6153, 5076, 22939, 6.798s, 5
26, 0, 0, 24, 715005, 734618, 6612, 30589, 4962, 10978, 5.585s, 5
27, 0, 0, 93, 364741, 367309, 5817, 20051, 5234, 17484, 6.063s, 5
28, 0, 0, 1366, 23211, 0, 5577, 11195, 5383, 34406, 7.443s, 5
29, 0, 0, 13, 1062876, 1101927, 7142, 40856, 4825, 1808, 4.713s, 5
30, 0, 0, 493, 362507, 367309, 5763, 20742, 4939, 15941, 5.795s, 5
31, 0, 0, 687, 14160, 0, 5699, 6107, 4929, 20267, 6.533s, 5
32, 0, 0, 313, 365826, 367309, 5323, 17556, 4958, 16074, 5.438s, 5
33, 0, 0, 1021, 18066, 0, 5409, 10360, 5244, 28426, 6.801s, 5
34, 0, 0, 925, 369568, 367309, 5570, 20463, 5204, 22723, 6.590s, 5
35, 0, 0, 1045, 22033, 0, 5621, 13132, 5089, 35165, 7.061s, 5
36, 0, 0, 957, 18297, 0, 5733, 5504, 5224, 23801, 7.561s, 5
37, 0, 0, 9, 1062612, 1101927, 5692, 41972, 4942, 2660, 4.769s, 5
38, 0, 0, 4, 715240, 734618, 5727, 26018, 4942, 6642, 5.579s, 5
39, 0, 0, 78, 366617, 367309, 5407, 17417, 4952, 16726, 6.077s, 5
