access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.6869635987e+02,3.2071956086e+02,1.4392963963e+08,1.6546023593e+08
write,1,3.6853400898e+02,3.2654617310e+02,1.4399304519e+08,1.6250790418e+08
write,2,3.6860221481e+02,3.2407579613e+02,1.4396640084e+08,1.6374667544e+08
write,3,3.6853917503e+02,3.6139220119e+02,1.4399102674e+08,1.4683862583e+08
write,4,3.6853330517e+02,3.3070781708e+02,1.4399332018e+08,1.6046289645e+08
write,5,3.6853289294e+02,3.3156301117e+02,1.4399348124e+08,1.6004901759e+08
write,6,3.6868731403e+02,3.1208999491e+02,1.4393317098e+08,1.7003535863e+08
write,7,3.6853395510e+02,3.2721599197e+02,1.4399306624e+08,1.6217524666e+08
write,8,3.6866681695e+02,3.6809786320e+02,1.4394117335e+08,1.4416365731e+08
write,9,3.6853354478e+02,3.2448492813e+02,1.4399322656e+08,1.6354021283e+08
write,10,3.6869669986e+02,3.3155454397e+02,1.4392950690e+08,1.6005310490e+08
write,11,3.6869688296e+02,3.2115857816e+02,1.4392943543e+08,1.6523405513e+08
write,12,3.6853260303e+02,3.6182409596e+02,1.4399359452e+08,1.4666335051e+08
write,13,3.6869255185e+02,3.1304189610e+02,1.4393112620e+08,1.6951831326e+08
write,14,3.6869274592e+02,3.2725421309e+02,1.4393105043e+08,1.6215630566e+08
write,15,3.6864459491e+02,3.2829866791e+02,1.4394985018e+08,1.6164041891e+08
write,16,3.6853115892e+02,3.2145616484e+02,1.4399415877e+08,1.6508109040e+08
write,17,3.6853378677e+02,3.3240821600e+02,1.4399313201e+08,1.5964206555e+08
write,18,3.6861761498e+02,3.2561054802e+02,1.4396038619e+08,1.6297486224e+08
write,19,3.6855076790e+02,3.6850673604e+02,1.4398649747e+08,1.4400370202e+08
write,20,3.6853293705e+02,3.0952499604e+02,1.4399346401e+08,1.7144442254e+08
write,21,3.6853199100e+02,3.5994709206e+02,1.4399383365e+08,1.4742815091e+08
write,22,3.6853743815e+02,3.4225710988e+02,1.4399170536e+08,1.5504815729e+08
write,23,3.6853100014e+02,3.1064626908e+02,1.4399422081e+08,1.7082559647e+08
write,24,3.6853078604e+02,3.1808127618e+02,1.4399430446e+08,1.6683262481e+08
write,25,3.6853262901e+02,3.0746765304e+02,1.4399358437e+08,1.7259160007e+08
write,26,3.6853357315e+02,3.0407125998e+02,1.4399321547e+08,1.7451940118e+08
write,27,3.6853594589e+02,3.5949420810e+02,1.4399228840e+08,1.4761387809e+08
write,28,3.6853086710e+02,3.0035592699e+02,1.4399427279e+08,1.7667816560e+08
write,29,3.6853286386e+02,3.2105830216e+02,1.4399349261e+08,1.6528566260e+08
write,30,3.6853083110e+02,3.0878340697e+02,1.4399428685e+08,1.7185617170e+08
write,31,3.6853389812e+02,3.2066038203e+02,1.4399308850e+08,1.6549077211e+08
write,32,3.6853053594e+02,3.0037945414e+02,1.4399440218e+08,1.7666432733e+08
write,33,3.6853258801e+02,3.2148489094e+02,1.4399360039e+08,1.6506633968e+08
write,34,3.6853051090e+02,3.1728000379e+02,1.4399441196e+08,1.6725395100e+08
write,35,3.6853298283e+02,3.1156726408e+02,1.4399344613e+08,1.7032063482e+08
write,36,3.6853272200e+02,3.4357208896e+02,1.4399354804e+08,1.5445472992e+08
write,37,3.6853121591e+02,3.0803664494e+02,1.4399413650e+08,1.7227279637e+08
write,38,3.6853313303e+02,3.0655311990e+02,1.4399338744e+08,1.7310648877e+08
write,39,3.6853350091e+02,3.1938141394e+02,1.4399324370e+08,1.6615348261e+08
