access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,1.3671016719e+03,3.6935499883e+02,7.2831192328e+05,2.6957167255e+06
write,1,1.3671016872e+03,7.7377248406e+02,7.2831191515e+05,1.2867819269e+06
write,2,1.3671016459e+03,4.8551488996e+02,7.2831193712e+05,2.0507639798e+06
write,3,1.3671017008e+03,8.2896741080e+02,7.2831190791e+05,1.2011044524e+06
write,4,1.3671016769e+03,5.5892018390e+02,7.2831192061e+05,1.7814286846e+06
write,5,1.3671017101e+03,1.0165406249e+03,7.2831190295e+05,9.7947531427e+05
write,6,1.3671016591e+03,7.5296670389e+02,7.2831193013e+05,1.3223379505e+06
write,7,1.3671080770e+03,1.3111065862e+03,7.2830851102e+05,7.5941686089e+05
write,8,1.3671016741e+03,3.9092141700e+02,7.2831192213e+05,2.5469989740e+06
write,9,1.3671016881e+03,1.2114574311e+03,7.2831191464e+05,8.2188314872e+05
write,10,1.3671016541e+03,3.5259162593e+02,7.2831193280e+05,2.8238800209e+06
write,11,1.3671017020e+03,1.2893077810e+03,7.2831190727e+05,7.7225660365e+05
write,12,1.3671016610e+03,4.0191189909e+02,7.2831192912e+05,2.4773500119e+06
write,13,1.3671015949e+03,1.3342500520e+03,7.2831196430e+05,7.4624426398e+05
write,14,1.3671015611e+03,6.0470457578e+02,7.2831198234e+05,1.6465502129e+06
write,15,1.3671016119e+03,1.2226845279e+03,7.2831195528e+05,8.1433634376e+05
write,16,1.3671015742e+03,4.5587339187e+02,7.2831197535e+05,2.1841073986e+06
write,17,1.3671016309e+03,1.1431824641e+03,7.2831194512e+05,8.7096896536e+05
write,18,1.3671015790e+03,3.4096226597e+02,7.2831197281e+05,2.9201954215e+06
write,19,1.3671016338e+03,1.2788066909e+03,7.2831194360e+05,7.7859809075e+05
write,20,1.3671015809e+03,4.1279694891e+02,7.2831197180e+05,2.4120247270e+06
write,21,1.3671016259e+03,1.3670880399e+03,7.2831194779e+05,7.2831918571e+05
write,22,1.3671015811e+03,7.5618326092e+02,7.2831197167e+05,1.3167131560e+06
write,23,1.3671016290e+03,1.2013249240e+03,7.2831194614e+05,8.2881527563e+05
write,24,1.3671015940e+03,3.1321472406e+02,7.2831196481e+05,3.1788941308e+06
write,25,1.3671016240e+03,1.1201618590e+03,7.2831194881e+05,8.8886837198e+05
write,26,1.3671015799e+03,3.0530396295e+02,7.2831197230e+05,3.2612627704e+06
write,27,1.3671016309e+03,1.3067833128e+03,7.2831194512e+05,7.6192926421e+05
write,28,1.3671015849e+03,4.7564400697e+02,7.2831196964e+05,2.0933228074e+06
write,29,1.3671016309e+03,1.3357508860e+03,7.2831194512e+05,7.4540579270e+05
write,30,1.3671015799e+03,4.8986488199e+02,7.2831197230e+05,2.0325532297e+06
write,31,1.3671016390e+03,8.5992462611e+02,7.2831194080e+05,1.1578647916e+06
write,32,1.3671015890e+03,3.7173207808e+02,7.2831196748e+05,2.6784786859e+06
write,33,1.3671016281e+03,1.2337207201e+03,7.2831194665e+05,8.0705173530e+05
write,34,1.3671015940e+03,5.5892020679e+02,7.2831196481e+05,1.7814286117e+06
write,35,1.3671016340e+03,1.3627438562e+03,7.2831194347e+05,7.3064093702e+05
write,36,1.3671016650e+03,5.7521443105e+02,7.2831192696e+05,1.7309656960e+06
write,37,1.3671017048e+03,1.1594820290e+03,7.2831190575e+05,8.5872520930e+05
write,38,1.3671016541e+03,8.3527388883e+02,7.2831193280e+05,1.1920358835e+06
write,39,1.3671074352e+03,8.8485460019e+02,7.2830885294e+05,1.1252430035e+06
