runtime: 23.923783 rate: 638226.861538
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 5322, 382394, 372207, 4129, 5864, 4845, 16056, 4.275s, 5
1, 0, 0, 3, 10948, 0, 3589, 8861, 5029, 19809, 5.067s, 5
2, 0, 0, 2, 375518, 372415, 3910, 16000, 4932, 19104, 3.927s, 5
3, 0, 0, 4, 11988, 0, 4665, 7975, 4874, 19963, 4.938s, 5
4, 0, 0, 801, 15554, 0, 4306, 9569, 5015, 25123, 5.168s, 5
5, 0, 0, 1, 724646, 744830, 3796, 29375, 4902, 9193, 3.794s, 5
6, 0, 0, 536, 725245, 744830, 4162, 30620, 4439, 11037, 2.090s, 5
7, 0, 0, 7, 15658, 0, 4202, 4506, 5020, 20164, 4.728s, 5
8, 0, 0, 11, 13500, 0, 4098, 9411, 4982, 22911, 5.157s, 5
9, 0, 0, 1, 10923, 0, 4140, 4115, 5023, 15038, 5.136s, 5
10, 0, 0, 4, 17390, 0, 4897, 5050, 5006, 22440, 5.007s, 5
11, 0, 0, 13, 723084, 744830, 3805, 28828, 4935, 7084, 4.314s, 5
12, 0, 0, 0, 371336, 372456, 4148, 14007, 4939, 12890, 4.365s, 5
13, 0, 0, 4, 1089308, 1117245, 3806, 30084, 4866, 2150, 3.027s, 5
14, 0, 0, 2, 378005, 372415, 3967, 9246, 4926, 14837, 3.912s, 5
15, 0, 0, 11, 375176, 372415, 3776, 15982, 4865, 18744, 3.755s, 5
16, 0, 0, 18, 13134, 0, 4312, 5543, 4933, 18677, 4.915s, 5
17, 0, 0, 8, 726154, 744830, 5018, 27781, 4355, 9107, 2.198s, 5
18, 0, 0, 61, 13102, 0, 4375, 4276, 5025, 17378, 4.972s, 5
19, 0, 0, 9, 369321, 372415, 4414, 20650, 5027, 17557, 5.101s, 5
20, 0, 0, 1, 14964, 0, 4275, 5711, 3716, 20675, 6.473s, 5
21, 0, 0, 2, 380164, 372415, 4128, 7148, 3575, 14898, 5.995s, 5
22, 0, 0, 0, 374090, 372415, 4388, 15165, 3726, 16841, 6.474s, 5
23, 0, 0, 86, 15501, 0, 3699, 6516, 3751, 22017, 6.520s, 5
24, 0, 0, 19, 731287, 744830, 3823, 22857, 3381, 9316, 5.488s, 5
25, 0, 0, 8, 376792, 372415, 3354, 12534, 3607, 16912, 6.165s, 5
26, 0, 0, 1, 1079532, 1117245, 4855, 41948, 3319, 4238, 5.230s, 5
27, 0, 0, 1, 1440395, 1489660, 4111, 49268, 290, 7, 0.135s, 5
28, 0, 0, 3, 21224, 0, 4037, 13922, 3745, 35146, 6.638s, 5
29, 0, 0, 2, 725580, 744830, 5256, 28530, 3560, 9282, 5.698s, 5
30, 0, 0, 60, 15131, 0, 4205, 7368, 3723, 22499, 6.574s, 5
31, 0, 0, 21, 22238, 0, 4188, 6790, 3429, 29028, 6.251s, 5
32, 0, 0, 44, 18395, 0, 3634, 2402, 3522, 20797, 5.838s, 5
33, 0, 0, 20, 19196, 0, 3848, 5039, 3716, 24235, 6.211s, 5
34, 0, 0, 0, 370314, 372415, 4149, 15621, 3589, 13521, 6.136s, 5
35, 0, 0, 8, 725057, 744830, 4125, 25912, 3395, 6141, 5.663s, 5
36, 0, 0, 9, 1438486, 1489660, 4136, 52001, 2432, 831, 2.793s, 5
37, 0, 0, 208, 23797, 0, 3852, 7821, 3676, 31618, 6.437s, 5
38, 0, 0, 5, 736563, 744830, 3894, 13937, 3447, 5672, 5.222s, 5
39, 0, 0, 4, 377711, 372415, 3810, 6040, 3745, 11337, 6.105s, 5
