access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,5.2722775292e+02,5.2720920205e+02,7.1264410918e+07,7.1266918494e+07
read,1,5.2722859693e+02,5.2720923400e+02,7.1264296836e+07,7.1266914176e+07
read,2,5.2722764492e+02,5.2720921206e+02,7.1264425517e+07,7.1266917141e+07
read,3,5.2722799110e+02,5.2720924211e+02,7.1264378724e+07,7.1266913080e+07
read,4,5.2722784996e+02,5.2720922303e+02,7.1264397802e+07,7.1266915658e+07
read,5,5.2722796607e+02,5.2720925117e+02,7.1264382108e+07,7.1266911855e+07
read,6,5.2722857189e+02,5.2720922518e+02,7.1264300220e+07,7.1266915368e+07
read,7,5.2722820115e+02,5.2720925093e+02,7.1264350333e+07,7.1266911887e+07
read,8,5.2722771907e+02,5.2720921707e+02,7.1264415495e+07,7.1266916464e+07
read,9,5.2722802496e+02,5.2720924401e+02,7.1264374148e+07,7.1266912822e+07
read,10,5.2722750592e+02,5.2720920396e+02,7.1264444305e+07,7.1266918236e+07
read,11,5.2722809005e+02,5.2720925593e+02,7.1264365350e+07,7.1266911211e+07
read,12,5.2722751999e+02,5.2720922613e+02,7.1264442404e+07,7.1266915239e+07
read,13,5.2722778082e+02,5.2720924687e+02,7.1264407148e+07,7.1266912435e+07
read,14,5.2722821689e+02,5.2720923400e+02,7.1264348206e+07,7.1266914176e+07
read,15,5.2722835302e+02,5.2720925689e+02,7.1264329804e+07,7.1266911082e+07
read,16,5.2722791505e+02,5.2720918489e+02,7.1264389004e+07,7.1266920815e+07
read,17,5.2722817016e+02,5.2720921993e+02,7.1264354522e+07,7.1266916077e+07
read,18,5.2722809911e+02,5.2720919991e+02,7.1264364125e+07,7.1266918784e+07
read,19,5.2722861099e+02,5.2720923591e+02,7.1264294935e+07,7.1266913918e+07
read,20,5.2722763705e+02,5.2720928693e+02,7.1264426581e+07,7.1266907021e+07
read,21,5.2722843409e+02,5.2720932984e+02,7.1264318847e+07,7.1266901220e+07
read,22,5.2722870612e+02,5.2720930696e+02,7.1264282077e+07,7.1266904314e+07
read,23,5.2722863913e+02,5.2720933914e+02,7.1264291132e+07,7.1266899963e+07
read,24,5.2722803521e+02,5.2720928979e+02,7.1264372762e+07,7.1266906634e+07
read,25,5.2722778106e+02,5.2720932698e+02,7.1264407116e+07,7.1266901606e+07
read,26,5.2722823215e+02,5.2720929289e+02,7.1264346143e+07,7.1266906215e+07
read,27,5.2722835016e+02,5.2720933795e+02,7.1264330191e+07,7.1266900124e+07
read,28,5.2722752881e+02,5.2720931292e+02,7.1264441211e+07,7.1266903508e+07
read,29,5.2722881603e+02,5.2720934296e+02,7.1264267220e+07,7.1266899447e+07
read,30,5.2722768998e+02,5.2720931101e+02,7.1264419426e+07,7.1266903766e+07
read,31,5.2722762895e+02,5.2720935488e+02,7.1264427676e+07,7.1266897836e+07
read,32,5.2722766089e+02,5.2720929098e+02,7.1264423358e+07,7.1266906473e+07
read,33,5.2722807598e+02,5.2720932603e+02,7.1264367251e+07,7.1266901735e+07
read,34,5.2722834110e+02,5.2720930386e+02,7.1264331416e+07,7.1266904733e+07
read,35,5.2722863889e+02,5.2720932698e+02,7.1264291165e+07,7.1266901606e+07
read,36,5.2722789407e+02,5.2720929003e+02,7.1264391840e+07,7.1266906602e+07
read,37,5.2722819400e+02,5.2720933890e+02,7.1264351299e+07,7.1266899995e+07
read,38,5.2722838616e+02,5.2720931697e+02,7.1264325325e+07,7.1266902960e+07
read,39,5.2722856998e+02,5.2720933509e+02,7.1264300478e+07,7.1266900511e+07
