access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.0790660906e+02,3.0298441100e+02,1.2202588099e+08,1.2400827854e+08
write,1,3.0779538798e+02,3.0771197391e+02,1.2206997473e+08,1.2210306526e+08
write,2,3.0779545403e+02,3.0146313500e+02,1.2206994853e+08,1.2463406257e+08
write,3,3.0775263309e+02,3.0439457107e+02,1.2208693344e+08,1.2343378892e+08
write,4,3.0775227284e+02,3.0770622993e+02,1.2208707635e+08,1.2210534457e+08
write,5,3.0775254488e+02,3.0429225087e+02,1.2208696843e+08,1.2347529431e+08
write,6,3.0775217104e+02,3.0235305119e+02,1.2208711674e+08,1.2426722695e+08
write,7,3.0775274897e+02,3.0466804910e+02,1.2208688747e+08,1.2332299151e+08
write,8,3.0779523301e+02,3.0379350495e+02,1.2207003619e+08,1.2367800700e+08
write,9,3.0779559708e+02,3.0064867282e+02,1.2206989180e+08,1.2497169829e+08
write,10,3.0775218987e+02,3.0355636191e+02,1.2208710927e+08,1.2377462622e+08
write,11,3.0775261307e+02,3.0060180211e+02,1.2208694138e+08,1.2499118425e+08
write,12,3.0779500103e+02,3.0287424803e+02,1.2207012819e+08,1.2405338346e+08
write,13,3.0775296497e+02,3.0530981302e+02,1.2208680178e+08,1.2306376549e+08
write,14,3.0779556108e+02,3.0486722898e+02,1.2206990608e+08,1.2324242050e+08
write,15,3.0775279999e+02,3.0771191621e+02,1.2208686723e+08,1.2210308816e+08
write,16,3.0779532003e+02,3.0281918406e+02,1.2207000167e+08,1.2407594105e+08
write,17,3.0775293398e+02,3.0511761403e+02,1.2208681408e+08,1.2314128554e+08
write,18,3.0779532218e+02,3.0746983218e+02,1.2207000082e+08,1.2219922509e+08
write,19,3.0775293684e+02,3.0323716593e+02,1.2208681294e+08,1.2390491488e+08
write,20,3.0779546499e+02,3.0529466105e+02,1.2206994418e+08,1.2306987323e+08
write,21,3.0775250506e+02,3.0687022901e+02,1.2208698423e+08,1.2243799392e+08
write,22,3.0790661097e+02,3.0402626705e+02,1.2202588023e+08,1.2358331928e+08
write,23,3.0775276089e+02,3.0340528202e+02,1.2208688274e+08,1.2383625948e+08
write,24,3.0779590821e+02,3.0461055303e+02,1.2206976841e+08,1.2334626906e+08
write,25,3.0779558420e+02,3.0625158691e+02,1.2206989691e+08,1.2268532422e+08
write,26,3.0775220108e+02,3.0504427385e+02,1.2208710482e+08,1.2317089174e+08
write,27,3.0775290513e+02,3.0512912202e+02,1.2208682552e+08,1.2313664125e+08
write,28,3.0779535604e+02,3.0380341792e+02,1.2206998740e+08,1.2367397144e+08
write,29,3.0775292683e+02,3.0625156903e+02,1.2208681691e+08,1.2268533138e+08
write,30,3.0779526496e+02,3.0578584599e+02,1.2207002352e+08,1.2287218563e+08
write,31,3.0775252080e+02,3.0511446810e+02,1.2208697799e+08,1.2314255521e+08
write,32,3.0775222898e+02,3.0244473600e+02,1.2208709375e+08,1.2422955588e+08
write,33,3.0779564095e+02,3.0593863606e+02,1.2206987440e+08,1.2281082153e+08
write,34,3.0775228000e+02,3.0419702506e+02,1.2208707351e+08,1.2351394700e+08
write,35,3.0775267601e+02,3.0688374114e+02,1.2208691641e+08,1.2243260295e+08
write,36,3.0779541612e+02,3.0225517988e+02,1.2206996357e+08,1.2430746512e+08
write,37,3.0775303483e+02,3.0293251395e+02,1.2208677407e+08,1.2402952308e+08
write,38,3.0779526997e+02,3.0514293408e+02,1.2207002153e+08,1.2313106756e+08
write,39,3.0775285196e+02,3.0526393104e+02,1.2208684661e+08,1.2308226230e+08
