access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,1.4804545307e+02,1.4794167209e+02,2.9452265892e+07,2.9472926637e+07
read,1,1.4804545808e+02,1.4794168210e+02,2.9452264896e+07,2.9472924642e+07
read,2,1.4804544592e+02,1.4794168305e+02,2.9452267315e+07,2.9472924452e+07
read,3,1.4804581904e+02,1.4794167995e+02,2.9452193086e+07,2.9472925070e+07
read,4,1.4804545403e+02,1.4794168591e+02,2.9452265703e+07,2.9472923882e+07
read,5,1.4804545498e+02,1.4794168401e+02,2.9452265513e+07,2.9472924262e+07
read,6,1.4804544806e+02,1.4794168091e+02,2.9452266888e+07,2.9472924880e+07
read,7,1.4804545498e+02,1.4794168401e+02,2.9452265513e+07,2.9472924262e+07
read,8,1.4804544783e+02,1.4794167304e+02,2.9452266936e+07,2.9472926447e+07
read,9,1.4804545808e+02,1.4794168210e+02,2.9452264896e+07,2.9472924642e+07
read,10,1.4804544497e+02,1.4794168305e+02,2.9452267505e+07,2.9472924452e+07
read,11,1.4804545808e+02,1.4794168305e+02,2.9452264896e+07,2.9472924452e+07
read,12,1.4804544091e+02,1.4794168711e+02,2.9452268311e+07,2.9472923645e+07
read,13,1.4804545307e+02,1.4794168496e+02,2.9452265892e+07,2.9472924072e+07
read,14,1.4804544997e+02,1.4794168591e+02,2.9452266509e+07,2.9472923882e+07
read,15,1.4804545093e+02,1.4794168496e+02,2.9452266319e+07,2.9472924072e+07
read,16,1.4804544687e+02,1.4794168210e+02,2.9452267125e+07,2.9472924642e+07
read,17,1.4804545379e+02,1.4794168186e+02,2.9452265750e+07,2.9472924690e+07
read,18,1.4804544687e+02,1.4794168305e+02,2.9452267125e+07,2.9472924452e+07
read,19,1.4804545188e+02,1.4794168210e+02,2.9452266129e+07,2.9472924642e+07
read,20,1.4804536796e+02,1.4794162107e+02,2.9452282825e+07,2.9472936802e+07
read,21,1.4804537606e+02,1.4794163585e+02,2.9452281213e+07,2.9472933857e+07
read,22,1.4804536295e+02,1.4794161892e+02,2.9452283821e+07,2.9472937229e+07
read,23,1.4804537106e+02,1.4794162703e+02,2.9452282209e+07,2.9472935614e+07
read,24,1.4804536700e+02,1.4794161320e+02,2.9452283015e+07,2.9472938369e+07
read,25,1.4804537392e+02,1.4794162107e+02,2.9452281639e+07,2.9472936802e+07
read,26,1.4804536700e+02,1.4794161320e+02,2.9452283015e+07,2.9472938369e+07
read,27,1.4804537797e+02,1.4794163799e+02,2.9452280833e+07,2.9472933429e+07
read,28,1.4804536796e+02,1.4794161201e+02,2.9452282825e+07,2.9472938607e+07
read,29,1.4804537392e+02,1.4794162583e+02,2.9452281639e+07,2.9472935852e+07
read,30,1.4804536700e+02,1.4794162011e+02,2.9452283015e+07,2.9472936992e+07
read,31,1.4804537797e+02,1.4794163084e+02,2.9452280833e+07,2.9472934854e+07
read,32,1.4804537320e+02,1.4794160199e+02,2.9452281782e+07,2.9472940602e+07
read,33,1.4804537606e+02,1.4794161201e+02,2.9452281213e+07,2.9472938607e+07
read,34,1.4804536414e+02,1.4794161296e+02,2.9452283584e+07,2.9472938417e+07
read,35,1.4804591489e+02,1.4794161487e+02,2.9452174018e+07,2.9472938037e+07
read,36,1.4804537201e+02,1.4794161582e+02,2.9452282019e+07,2.9472937847e+07
read,37,1.4804536891e+02,1.4794161892e+02,2.9452282635e+07,2.9472937229e+07
read,38,1.4804536700e+02,1.4794161105e+02,2.9452283015e+07,2.9472938797e+07
read,39,1.4804537201e+02,1.4794162416e+02,2.9452282019e+07,2.9472936184e+07
