access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,2.1791039000e+03,1.0428748009e+03,2.0009482100e+06,4.1810139090e+06
write,1,2.1791039000e+03,1.8605564191e+03,2.0009482100e+06,2.3435322913e+06
write,2,2.1791039090e+03,1.2377814751e+03,2.0009482017e+06,3.5226525326e+06
write,3,2.1791038702e+03,2.1790841439e+03,2.0009482374e+06,2.0009663510e+06
write,4,2.1791039019e+03,1.4772163961e+03,2.0009482082e+06,2.9516826780e+06
write,5,2.1791039000e+03,1.7015495420e+03,2.0009482100e+06,2.5625313519e+06
write,6,2.1791039119e+03,8.8480034089e+02,2.0009481990e+06,4.9279750996e+06
write,7,2.1791039021e+03,2.1011181538e+03,2.0009482080e+06,2.0752160178e+06
write,8,2.1791039162e+03,1.1393987610e+03,2.0009481951e+06,3.8268200714e+06
write,9,2.1791039081e+03,1.5325262172e+03,2.0009482025e+06,2.8451546205e+06
write,10,2.1791039109e+03,1.4021922100e+03,2.0009481999e+06,3.1096122322e+06
write,11,2.1791038849e+03,1.7506771710e+03,2.0009482238e+06,2.4906214122e+06
write,12,2.1791039040e+03,9.2070684910e+02,2.0009482063e+06,4.7357897384e+06
write,13,2.1791039050e+03,1.2803968210e+03,2.0009482054e+06,3.4054083675e+06
write,14,2.1791039109e+03,1.1570041399e+03,2.0009481999e+06,3.7685898413e+06
write,15,2.1791038980e+03,1.3313695521e+03,2.0009482117e+06,3.2750291165e+06
write,16,2.1791039310e+03,1.0496594820e+03,2.0009481815e+06,4.1539891010e+06
write,17,2.1791039209e+03,2.1578915579e+03,2.0009481907e+06,2.0206177794e+06
write,18,2.1791042631e+03,1.0358953271e+03,2.0009478766e+06,4.2091840111e+06
write,19,2.1791038771e+03,2.1582230668e+03,2.0009482310e+06,2.0203074071e+06
write,20,2.1791038749e+03,9.5663944006e+02,2.0009482330e+06,4.5579074680e+06
write,21,2.1791038780e+03,1.5876786120e+03,2.0009482301e+06,2.7463203290e+06
write,22,2.1791038961e+03,1.0020744760e+03,2.0009482135e+06,4.3512474895e+06
write,23,2.1791038709e+03,1.3667250841e+03,2.0009482367e+06,3.1903080574e+06
write,24,2.1791038859e+03,8.5630466604e+02,2.0009482229e+06,5.0919657698e+06
write,25,2.1791038921e+03,2.1559975359e+03,2.0009482172e+06,2.0223928717e+06
write,26,2.1791042290e+03,3.0617609811e+02,2.0009479079e+06,1.4241066089e+07
write,27,2.1791038489e+03,2.1182469320e+03,2.0009482568e+06,2.0584352004e+06
write,28,2.1791038730e+03,4.2130814695e+02,2.0009482347e+06,1.0349370359e+07
write,29,2.1791038759e+03,1.7862674091e+03,2.0009482321e+06,2.4409973702e+06
write,30,2.1791038971e+03,7.3682946396e+02,2.0009482126e+06,5.9176163024e+06
write,31,2.1791038709e+03,1.8969554989e+03,2.0009482367e+06,2.2985642259e+06
write,32,2.1791038740e+03,6.6618250799e+02,2.0009482339e+06,6.5451644192e+06
write,33,2.1791038611e+03,2.1111229780e+03,2.0009482457e+06,2.0653813603e+06
write,34,2.1791038671e+03,6.0430438805e+02,2.0009482402e+06,7.2153605604e+06
write,35,2.1791038220e+03,1.6441848290e+03,2.0009482816e+06,2.6519366747e+06
write,36,2.1791038542e+03,8.2772642088e+02,2.0009482520e+06,5.2677719812e+06
write,37,2.1791038640e+03,1.4325956111e+03,2.0009482430e+06,3.0436181810e+06
write,38,2.1791038771e+03,7.9323187184e+02,2.0009482310e+06,5.4968467642e+06
write,39,2.1791038549e+03,1.9336127951e+03,2.0009482514e+06,2.2549882060e+06
